,TF_A,TF_B,Signal_C,Kinase_D,Cytokine_E,Apoptosis_F,Metabolism_G,Stress_H,Proliferation_I,Inflammation_J,Housekeeping_K,Noise_L
TF_A,0.07154658753952736,0.13354428978493293,7.470690732702678e-13,0.11616074884173155,1.0002685790766463e-08,0.13245088068192912,0.15529726946854905,0.9617903665280384,0.36759264499466593,0.18112593701908242,0.19291279402694173,0.5756468331945188
TF_B,0.13354428978492816,1.7644774530367613e-12,1.2348509748072445e-07,0.09040359379196916,0.011208792870906592,0.40324073292541407,0.8538797133512159,0.4278186150009564,0.4750655415431724,8.946346422034068e-05,0.7504745620538471,0.9366225884317008
Signal_C,7.470690732702678e-13,1.2348509748072445e-07,0.003437730931326266,0.5112174613405549,0.34567095777899737,0.46238386336764425,0.026872005879346128,0.17183913163569098,0.13435378024369327,0.06518473527353319,0.10469886421861918,0.7849539116752424
Kinase_D,0.11616074884174132,0.09040359379196894,0.5112174613405329,5.76100065763363e-07,1.3512093200218622e-05,0.5222376587367106,0.3649990853293056,0.7764266706630468,0.5594581535546288,0.20593464666282857,0.27903408891263926,0.6339848097325641
Cytokine_E,1.0002685790766463e-08,0.011208792870906703,0.3456709577789947,1.3512093200218622e-05,0.0060114316076630425,0.37449122076433594,0.6174366493883086,6.3277388939742e-07,0.5350062057800613,0.07720978096626896,0.5817005391209615,0.4250519002921276
Apoptosis_F,0.13245088068193067,0.40324073292541407,0.46238386336763626,0.5222376587367004,0.3744912207643346,0.13117367847562844,0.6739256669292983,0.9681231116348703,0.9441448100052584,0.5474432889547014,0.32604196553499465,0.5514925277673514
Metabolism_G,0.15529726946853506,0.8538797133512096,0.026872005879345906,0.36499908532928493,0.6174366493883177,0.6739256669292897,7.673381818840141e-09,8.723901584239968e-06,0.004657720639492102,0.11237102682416744,0.1869139267162946,0.2378329496562056
Stress_H,0.9617903665279787,0.4278186150009686,0.1718391316356932,0.7764266706630593,6.3277388939742e-07,0.9681231116348704,8.723901584239968e-06,0.005867325434970705,0.02345114014845051,0.4057485653546956,0.25288390722596266,0.6678008281775831
Proliferation_I,0.3675926449946766,0.47506554154318137,0.13435378024369327,0.559458153554627,0.5350062057800447,0.9441448100052572,0.004657720639491991,0.023451140148449956,0.493685485382205,0.5681449269447177,0.6774875704007706,0.9233085864000571
Inflammation_J,0.1811259370190833,8.946346422034068e-05,0.06518473527353152,0.20593464666283212,0.07720978096627273,0.5474432889547045,0.11237102682416511,0.4057485653546966,0.568144926944713,0.08930116705967917,0.41150021578266427,0.9431856359583254
Housekeeping_K,0.19291279402693784,0.7504745620538461,0.1046988642186204,0.2790340889126387,0.581700539120964,0.3260419655349899,0.18691392671629148,0.25288390722596343,0.677487570400764,0.4115002157826605,0.8107922902301544,0.43529936781262146
Noise_L,0.5756468331945321,0.9366225884316933,0.784953911675241,0.6339848097325524,0.42505190029212625,0.5514925277673499,0.23783294965619994,0.6678008281775748,0.9233085864000622,0.9431856359583373,0.4352993678126199,0.9797252944398105
