From,To,From_gene,To_gene,Conditioning_Set,Conditioning_Genes,Direction,Statistic,P_value,Removed
2,1,Signal_C,TF_B,0,TF_A,TF_B <- Signal_C,98.4976458519256,1e-320,False
1,2,TF_B,Signal_C,0,TF_A,Signal_C <- TF_B,214.30400205615734,1e-320,False
2,1,Signal_C,TF_B,3,Kinase_D,TF_B <- Signal_C,71.76311585284044,8.881784197001252e-16,False
1,2,TF_B,Signal_C,3,Kinase_D,Signal_C <- TF_B,163.11030892229243,1e-320,False
2,1,Signal_C,TF_B,4,Cytokine_E,TF_B <- Signal_C,101.71842620472377,1e-320,False
1,2,TF_B,Signal_C,4,Cytokine_E,Signal_C <- TF_B,212.40929476839668,1e-320,False
2,1,Signal_C,TF_B,6,Metabolism_G,TF_B <- Signal_C,92.25228222741599,1e-320,False
1,2,TF_B,Signal_C,6,Metabolism_G,Signal_C <- TF_B,188.54481630155632,1e-320,False
2,1,Signal_C,TF_B,7,Stress_H,TF_B <- Signal_C,79.677199478364,1e-320,False
1,2,TF_B,Signal_C,7,Stress_H,Signal_C <- TF_B,166.67096224475952,1e-320,False
2,1,Signal_C,TF_B,8,Proliferation_I,TF_B <- Signal_C,86.56550728178554,1e-320,False
1,2,TF_B,Signal_C,8,Proliferation_I,Signal_C <- TF_B,158.11057139616477,1e-320,False
2,1,Signal_C,TF_B,9,Inflammation_J,TF_B <- Signal_C,90.74519492873462,1e-320,False
1,2,TF_B,Signal_C,9,Inflammation_J,Signal_C <- TF_B,195.9729432737915,1e-320,False
4,0,Cytokine_E,TF_A,1,TF_B,TF_A <- Cytokine_E,96.14836613578642,1e-320,False
0,4,TF_A,Cytokine_E,1,TF_B,Cytokine_E <- TF_A,154.4707573340236,1e-320,False
4,0,Cytokine_E,TF_A,2,Signal_C,TF_A <- Cytokine_E,112.6683445388744,1e-320,False
0,4,TF_A,Cytokine_E,2,Signal_C,Cytokine_E <- TF_A,143.2553640980495,1e-320,False
4,0,Cytokine_E,TF_A,3,Kinase_D,TF_A <- Cytokine_E,98.07468623519135,1e-320,False
0,4,TF_A,Cytokine_E,3,Kinase_D,Cytokine_E <- TF_A,198.0991837031723,1e-320,False
4,0,Cytokine_E,TF_A,6,Metabolism_G,TF_A <- Cytokine_E,106.17452907048748,1e-320,False
0,4,TF_A,Cytokine_E,6,Metabolism_G,Cytokine_E <- TF_A,172.39786702711888,1e-320,False
4,0,Cytokine_E,TF_A,7,Stress_H,TF_A <- Cytokine_E,115.37195256349163,1e-320,False
0,4,TF_A,Cytokine_E,7,Stress_H,Cytokine_E <- TF_A,192.72363071278275,1e-320,False
4,0,Cytokine_E,TF_A,8,Proliferation_I,TF_A <- Cytokine_E,101.20080367337067,1e-320,False
0,4,TF_A,Cytokine_E,8,Proliferation_I,Cytokine_E <- TF_A,186.812998230049,1e-320,False
4,0,Cytokine_E,TF_A,9,Inflammation_J,TF_A <- Cytokine_E,108.77825098867928,1e-320,False
0,4,TF_A,Cytokine_E,9,Inflammation_J,Cytokine_E <- TF_A,194.21610238446684,1e-320,False
4,3,Cytokine_E,Kinase_D,0,TF_A,Kinase_D <- Cytokine_E,111.18447145868,1e-320,False
3,4,Kinase_D,Cytokine_E,0,TF_A,Cytokine_E <- Kinase_D,132.4196392122555,1e-320,False
4,3,Cytokine_E,Kinase_D,1,TF_B,Kinase_D <- Cytokine_E,79.74152515911331,1e-320,False
3,4,Kinase_D,Cytokine_E,1,TF_B,Cytokine_E <- Kinase_D,142.8869887041574,1e-320,False
4,3,Cytokine_E,Kinase_D,2,Signal_C,Kinase_D <- Cytokine_E,143.92180415315877,1e-320,False
3,4,Kinase_D,Cytokine_E,2,Signal_C,Cytokine_E <- Kinase_D,121.05946231001042,1e-320,False
4,3,Cytokine_E,Kinase_D,6,Metabolism_G,Kinase_D <- Cytokine_E,108.45895024774397,1e-320,False
3,4,Kinase_D,Cytokine_E,6,Metabolism_G,Cytokine_E <- Kinase_D,115.87745935861376,1e-320,False
4,3,Cytokine_E,Kinase_D,7,Stress_H,Kinase_D <- Cytokine_E,100.60936947692859,1e-320,False
3,4,Kinase_D,Cytokine_E,7,Stress_H,Cytokine_E <- Kinase_D,134.23734407935007,1e-320,False
4,3,Cytokine_E,Kinase_D,8,Proliferation_I,Kinase_D <- Cytokine_E,93.13877937175022,1e-320,False
3,4,Kinase_D,Cytokine_E,8,Proliferation_I,Cytokine_E <- Kinase_D,127.12443417207434,1e-320,False
4,3,Cytokine_E,Kinase_D,9,Inflammation_J,Kinase_D <- Cytokine_E,103.28294059275729,1e-320,False
3,4,Kinase_D,Cytokine_E,9,Inflammation_J,Cytokine_E <- Kinase_D,125.54640766866464,1e-320,False
8,6,Proliferation_I,Metabolism_G,0,TF_A,Metabolism_G <- Proliferation_I,0.8875921653056341,0.34685032436620256,True
7,4,Stress_H,Cytokine_E,0,TF_A,Cytokine_E <- Stress_H,165.1503897356251,1e-320,False
4,7,Cytokine_E,Stress_H,0,TF_A,Stress_H <- Cytokine_E,251.3626146562547,1e-320,False
7,4,Stress_H,Cytokine_E,1,TF_B,Cytokine_E <- Stress_H,148.06722766391744,1e-320,False
4,7,Cytokine_E,Stress_H,1,TF_B,Stress_H <- Cytokine_E,248.31654801445848,1e-320,False
7,4,Stress_H,Cytokine_E,2,Signal_C,Cytokine_E <- Stress_H,144.5798320263515,1e-320,False
4,7,Cytokine_E,Stress_H,2,Signal_C,Stress_H <- Cytokine_E,232.3496907900454,1e-320,False
7,4,Stress_H,Cytokine_E,3,Kinase_D,Cytokine_E <- Stress_H,193.32381313580785,1e-320,False
4,7,Cytokine_E,Stress_H,3,Kinase_D,Stress_H <- Cytokine_E,219.45537303644355,1e-320,False
7,4,Stress_H,Cytokine_E,6,Metabolism_G,Cytokine_E <- Stress_H,141.2376028122218,1e-320,False
4,7,Cytokine_E,Stress_H,6,Metabolism_G,Stress_H <- Cytokine_E,228.6023088056953,1e-320,False
7,4,Stress_H,Cytokine_E,8,Proliferation_I,Cytokine_E <- Stress_H,163.60850586707633,1e-320,False
4,7,Cytokine_E,Stress_H,8,Proliferation_I,Stress_H <- Cytokine_E,251.51720321533816,1e-320,False
7,4,Stress_H,Cytokine_E,9,Inflammation_J,Cytokine_E <- Stress_H,176.23459194069585,1e-320,False
4,7,Cytokine_E,Stress_H,9,Inflammation_J,Stress_H <- Cytokine_E,196.08625362049,1e-320,False
7,6,Stress_H,Metabolism_G,0,TF_A,Metabolism_G <- Stress_H,249.72510766607553,1e-320,False
6,7,Metabolism_G,Stress_H,0,TF_A,Stress_H <- Metabolism_G,171.5418709142844,1e-320,False
7,6,Stress_H,Metabolism_G,1,TF_B,Metabolism_G <- Stress_H,177.59641952393437,1e-320,False
6,7,Metabolism_G,Stress_H,1,TF_B,Stress_H <- Metabolism_G,144.25333126782382,1e-320,False
7,6,Stress_H,Metabolism_G,2,Signal_C,Metabolism_G <- Stress_H,218.47808404154128,1e-320,False
6,7,Metabolism_G,Stress_H,2,Signal_C,Stress_H <- Metabolism_G,196.0420267962874,1e-320,False
7,6,Stress_H,Metabolism_G,3,Kinase_D,Metabolism_G <- Stress_H,177.8793952170764,1e-320,False
6,7,Metabolism_G,Stress_H,3,Kinase_D,Stress_H <- Metabolism_G,167.34331876701006,1e-320,False
7,6,Stress_H,Metabolism_G,4,Cytokine_E,Metabolism_G <- Stress_H,200.29299952703443,1e-320,False
6,7,Metabolism_G,Stress_H,4,Cytokine_E,Stress_H <- Metabolism_G,172.50662230620202,1e-320,False
7,6,Stress_H,Metabolism_G,8,Proliferation_I,Metabolism_G <- Stress_H,225.2762545590342,1e-320,False
6,7,Metabolism_G,Stress_H,8,Proliferation_I,Stress_H <- Metabolism_G,187.8849958962598,1e-320,False
7,6,Stress_H,Metabolism_G,9,Inflammation_J,Metabolism_G <- Stress_H,266.66110719314077,1e-320,False
6,7,Metabolism_G,Stress_H,9,Inflammation_J,Stress_H <- Metabolism_G,185.83802568651313,1e-320,False
2,0,Signal_C,TF_A,1,TF_B,TF_A <- Signal_C,172.51762661271906,1e-320,False
0,2,TF_A,Signal_C,1,TF_B,Signal_C <- TF_A,194.8240267296813,1e-320,False
2,0,Signal_C,TF_A,3,Kinase_D,TF_A <- Signal_C,269.09050654297755,1e-320,False
0,2,TF_A,Signal_C,3,Kinase_D,Signal_C <- TF_A,183.7225711036523,1e-320,False
2,0,Signal_C,TF_A,4,Cytokine_E,TF_A <- Signal_C,167.0682507524147,1e-320,False
0,2,TF_A,Signal_C,4,Cytokine_E,Signal_C <- TF_A,197.0475993506594,1e-320,False
2,0,Signal_C,TF_A,6,Metabolism_G,TF_A <- Signal_C,232.01581933913062,1e-320,False
0,2,TF_A,Signal_C,6,Metabolism_G,Signal_C <- TF_A,180.52706167021987,1e-320,False
2,0,Signal_C,TF_A,7,Stress_H,TF_A <- Signal_C,155.0663702836154,1e-320,False
0,2,TF_A,Signal_C,7,Stress_H,Signal_C <- TF_A,207.10587124845944,1e-320,False
2,0,Signal_C,TF_A,8,Proliferation_I,TF_A <- Signal_C,153.32447522785807,1e-320,False
0,2,TF_A,Signal_C,8,Proliferation_I,Signal_C <- TF_A,187.45664343440356,1e-320,False
2,0,Signal_C,TF_A,9,Inflammation_J,TF_A <- Signal_C,230.39119280157993,1e-320,False
0,2,TF_A,Signal_C,9,Inflammation_J,Signal_C <- TF_A,198.03424173031226,1e-320,False
9,1,Inflammation_J,TF_B,0,TF_A,TF_B <- Inflammation_J,248.0588690744421,1e-320,False
1,9,TF_B,Inflammation_J,0,TF_A,Inflammation_J <- TF_B,115.19740288395984,1e-320,False
9,1,Inflammation_J,TF_B,2,Signal_C,TF_B <- Inflammation_J,276.0614190945947,1e-320,False
1,9,TF_B,Inflammation_J,2,Signal_C,Inflammation_J <- TF_B,121.68008872632507,1e-320,False
9,1,Inflammation_J,TF_B,3,Kinase_D,TF_B <- Inflammation_J,225.43351197300962,1e-320,False
1,9,TF_B,Inflammation_J,3,Kinase_D,Inflammation_J <- TF_B,99.13803464998607,1e-320,False
9,1,Inflammation_J,TF_B,4,Cytokine_E,TF_B <- Inflammation_J,267.7858846778897,1e-320,False
1,9,TF_B,Inflammation_J,4,Cytokine_E,Inflammation_J <- TF_B,115.29336621661444,1e-320,False
9,1,Inflammation_J,TF_B,6,Metabolism_G,TF_B <- Inflammation_J,230.04536453125962,1e-320,False
1,9,TF_B,Inflammation_J,6,Metabolism_G,Inflammation_J <- TF_B,94.71946718093245,1e-320,False
9,1,Inflammation_J,TF_B,7,Stress_H,TF_B <- Inflammation_J,259.53055335876155,1e-320,False
1,9,TF_B,Inflammation_J,7,Stress_H,Inflammation_J <- TF_B,109.29216462582374,1e-320,False
9,1,Inflammation_J,TF_B,8,Proliferation_I,TF_B <- Inflammation_J,224.30631500881685,1e-320,False
1,9,TF_B,Inflammation_J,8,Proliferation_I,Inflammation_J <- TF_B,98.03889066429204,1e-320,False
