Node1,Node2,Gene1,Gene2,P_value,In_Diff_UG
0,1,TF_A,TF_B,0.13354428978493293,False
0,2,TF_A,Signal_C,7.470690732702678e-13,True
0,3,TF_A,Kinase_D,0.11616074884173155,False
0,4,TF_A,Cytokine_E,1.0002685790766463e-08,True
0,5,TF_A,Apoptosis_F,0.13245088068192912,False
0,6,TF_A,Metabolism_G,0.15529726946854905,False
0,7,TF_A,Stress_H,0.9617903665280384,False
0,8,TF_A,Proliferation_I,0.36759264499466593,False
0,9,TF_A,Inflammation_J,0.18112593701908242,False
0,10,TF_A,Housekeeping_K,0.19291279402694173,False
0,11,TF_A,Noise_L,0.5756468331945188,False
1,2,TF_B,Signal_C,1.2348509748072445e-07,True
1,3,TF_B,Kinase_D,0.09040359379196916,False
1,4,TF_B,Cytokine_E,0.011208792870906592,False
1,5,TF_B,Apoptosis_F,0.40324073292541407,False
1,6,TF_B,Metabolism_G,0.8538797133512159,False
1,7,TF_B,Stress_H,0.4278186150009564,False
1,8,TF_B,Proliferation_I,0.4750655415431724,False
1,9,TF_B,Inflammation_J,8.946346422034068e-05,True
1,10,TF_B,Housekeeping_K,0.7504745620538471,False
1,11,TF_B,Noise_L,0.9366225884317008,False
2,3,Signal_C,Kinase_D,0.5112174613405549,False
2,4,Signal_C,Cytokine_E,0.34567095777899737,False
2,5,Signal_C,Apoptosis_F,0.46238386336764425,False
2,6,Signal_C,Metabolism_G,0.026872005879346128,False
2,7,Signal_C,Stress_H,0.17183913163569098,False
2,8,Signal_C,Proliferation_I,0.13435378024369327,False
2,9,Signal_C,Inflammation_J,0.06518473527353319,False
2,10,Signal_C,Housekeeping_K,0.10469886421861918,False
2,11,Signal_C,Noise_L,0.7849539116752424,False
3,4,Kinase_D,Cytokine_E,1.3512093200218622e-05,True
3,5,Kinase_D,Apoptosis_F,0.5222376587367106,False
3,6,Kinase_D,Metabolism_G,0.3649990853293056,False
3,7,Kinase_D,Stress_H,0.7764266706630468,False
3,8,Kinase_D,Proliferation_I,0.5594581535546288,False
3,9,Kinase_D,Inflammation_J,0.20593464666282857,False
3,10,Kinase_D,Housekeeping_K,0.27903408891263926,False
3,11,Kinase_D,Noise_L,0.6339848097325641,False
4,5,Cytokine_E,Apoptosis_F,0.37449122076433594,False
4,6,Cytokine_E,Metabolism_G,0.6174366493883086,False
4,7,Cytokine_E,Stress_H,6.3277388939742e-07,True
4,8,Cytokine_E,Proliferation_I,0.5350062057800613,False
4,9,Cytokine_E,Inflammation_J,0.07720978096626896,False
4,10,Cytokine_E,Housekeeping_K,0.5817005391209615,False
4,11,Cytokine_E,Noise_L,0.4250519002921276,False
5,6,Apoptosis_F,Metabolism_G,0.6739256669292983,False
5,7,Apoptosis_F,Stress_H,0.9681231116348703,False
5,8,Apoptosis_F,Proliferation_I,0.9441448100052584,False
5,9,Apoptosis_F,Inflammation_J,0.5474432889547014,False
5,10,Apoptosis_F,Housekeeping_K,0.32604196553499465,False
5,11,Apoptosis_F,Noise_L,0.5514925277673514,False
6,7,Metabolism_G,Stress_H,8.723901584239968e-06,True
6,8,Metabolism_G,Proliferation_I,0.004657720639492102,True
6,9,Metabolism_G,Inflammation_J,0.11237102682416744,False
6,10,Metabolism_G,Housekeeping_K,0.1869139267162946,False
6,11,Metabolism_G,Noise_L,0.2378329496562056,False
7,8,Stress_H,Proliferation_I,0.02345114014845051,False
7,9,Stress_H,Inflammation_J,0.4057485653546956,False
7,10,Stress_H,Housekeeping_K,0.25288390722596266,False
7,11,Stress_H,Noise_L,0.6678008281775831,False
8,9,Proliferation_I,Inflammation_J,0.5681449269447177,False
8,10,Proliferation_I,Housekeeping_K,0.6774875704007706,False
8,11,Proliferation_I,Noise_L,0.9233085864000571,False
9,10,Inflammation_J,Housekeeping_K,0.41150021578266427,False
9,11,Inflammation_J,Noise_L,0.9431856359583254,False
10,11,Housekeeping_K,Noise_L,0.43529936781262146,False
